epoch,elapsed_s,train_total_loss,train_box_loss,train_iou_loss,train_conf_loss,train_cls_loss,train_dfl_loss,train_l1_loss,val_box_loss,val_cls_loss,val_dfl_loss,precision,recall,map50,map50_95,lr,train_peak_allocated_mib,train_peak_reserved_mib,gpu_peak_allocated_mib,gpu_peak_reserved_mib
36,3646.534965276718,,0.2459854930639267,,,0.19479238986968994,0.9382520318031311,,0.14024,0.11945,0.86144,0.99972,1.0,0.995,0.99479,0.006535,3999.23193359375,4056.0,3999.23193359375,4056.0
37,3747.075809240341,,0.24708083271980286,,,0.19166791439056396,0.935949981212616,,0.17256,0.13181,0.88683,0.99972,1.0,0.995,0.985,0.006436000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
38,3847.70374751091,,0.24601168930530548,,,0.19434016942977905,0.9337919354438782,,0.15762,0.14707,0.87485,0.99972,1.0,0.995,0.98907,0.006337000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
39,3948.9090163707733,,0.24045491218566895,,,0.18580172955989838,0.93281090259552,,0.14232,0.14933,0.86934,0.99972,1.0,0.995,0.99268,0.0062380000000000005,3999.23193359375,4056.0,3999.23193359375,4056.0
40,4051.64462518692,,0.24045981466770172,,,0.19259893894195557,0.9356120824813843,,0.49916,0.3578,1.54311,0.99905,1.0,0.995,0.88193,0.006139,3999.23193359375,4056.0,3999.23193359375,4056.0
41,4154.638677120209,,0.23305150866508484,,,0.18767200410366058,0.92647784948349,,0.16801,0.14256,0.87531,1.0,1.0,0.995,0.99194,0.00604,3999.23193359375,4056.0,3999.23193359375,4056.0
42,4257.479143857956,,0.230927973985672,,,0.1828242987394333,0.933440089225769,,0.15943,0.11966,0.87247,0.99972,1.0,0.995,0.98559,0.005941000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
43,4359.6087856292725,,0.2291649729013443,,,0.18351472914218903,0.926446259021759,,0.33962,0.25814,1.05524,0.99958,1.0,0.995,0.94611,0.005842000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
44,4462.231976509094,,0.23001644015312195,,,0.18081218004226685,0.9294154644012451,,0.14538,0.12377,0.86743,0.99865,1.0,0.995,0.99472,0.005743000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
45,4562.836735486984,,0.22270436584949493,,,0.17963075637817383,0.9260885119438171,,0.14078,0.12523,0.86265,0.99971,1.0,0.995,0.99479,0.005644000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
46,4663.001827478409,,0.22302359342575073,,,0.17884226143360138,0.9262489080429077,,0.18443,0.12563,0.89226,0.99971,1.0,0.995,0.98645,0.0055450000000000004,3999.23193359375,4056.0,3999.23193359375,4056.0
47,4765.690280199051,,0.22131115198135376,,,0.17701302468776703,0.9251828193664551,,0.15025,0.12768,0.86389,0.99972,1.0,0.995,0.99355,0.005446000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
48,4867.292501926422,,0.21391457319259644,,,0.17171147465705872,0.9243620038032532,,0.17141,0.11962,0.88869,0.99965,1.0,0.995,0.98494,0.005347000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
49,4968.9984130859375,,0.2137882113456726,,,0.17465442419052124,0.9184683561325073,,0.19865,0.14781,0.91462,0.99972,1.0,0.995,0.99231,0.005248000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
50,5069.137116909027,,0.21865257620811462,,,0.1765262335538864,0.9241552948951721,,0.13355,0.12276,0.86559,0.99972,1.0,0.995,0.99391,0.005149,3999.23193359375,4056.0,3999.23193359375,4056.0
51,5169.195281744003,,0.2068169116973877,,,0.16946099698543549,0.9198593497276306,,0.13196,0.11842,0.86235,0.99973,1.0,0.995,0.99359,0.00505,3999.23193359375,4056.0,3999.23193359375,4056.0
52,5269.307952880859,,0.20372654497623444,,,0.1654307097196579,0.9175320863723755,,0.14723,0.1076,0.86447,0.99973,1.0,0.995,0.98931,0.004951,3999.23193359375,4056.0,3999.23193359375,4056.0
53,5369.688406944275,,0.20659607648849487,,,0.16864344477653503,0.9215843081474304,,0.14296,0.12659,0.86218,0.99973,1.0,0.995,0.99338,0.0048519999999999995,3999.23193359375,4056.0,3999.23193359375,4056.0
54,5470.302207231522,,0.2028394192457199,,,0.16469311714172363,0.9172996878623962,,0.14974,0.12672,0.868,0.99973,1.0,0.995,0.99485,0.004753,3999.23193359375,4056.0,3999.23193359375,4056.0
55,5570.778058052063,,0.20427532494068146,,,0.16390348970890045,0.9166563153266907,,0.13223,0.09866,0.85978,0.99973,1.0,0.995,0.99379,0.004654,3999.23193359375,4056.0,3999.23193359375,4056.0
56,5671.16129899025,,0.1974097639322281,,,0.16109006106853485,0.9150134921073914,,0.11314,0.10401,0.85122,0.99973,1.0,0.995,0.99379,0.004555,3999.23193359375,4056.0,3999.23193359375,4056.0
57,5771.434119224548,,0.19213762879371643,,,0.1580469310283661,0.9097457528114319,,0.14378,0.1183,0.86725,0.99972,1.0,0.995,0.99356,0.004456,3999.23193359375,4056.0,3999.23193359375,4056.0
58,5871.673627853394,,0.19341953098773956,,,0.16459700465202332,0.9139650464057922,,0.1051,0.10162,0.84424,0.99972,1.0,0.995,0.9949,0.004357000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
59,5972.132682800293,,0.19554296135902405,,,0.16421058773994446,0.9164627194404602,,0.14904,0.12189,0.86546,0.99973,1.0,0.995,0.99472,0.0042580000000000005,3999.23193359375,4056.0,3999.23193359375,4056.0
60,6072.489490747452,,0.19301588833332062,,,0.15706191956996918,0.9167730808258057,,0.13754,0.11678,0.86161,1.0,1.0,0.995,0.98993,0.004159,3999.23193359375,4056.0,3999.23193359375,4056.0
61,6177.233834028244,,0.18943142890930176,,,0.15455913543701172,0.9115913510322571,,0.12188,0.10799,0.8524,0.99972,1.0,0.995,0.99284,0.00406,3999.23193359375,4056.0,3999.23193359375,4056.0
62,6281.466169118881,,0.1909782439470291,,,0.16085657477378845,0.9137409925460815,,0.10468,0.10011,0.85159,0.99973,1.0,0.995,0.9935,0.003961,3999.23193359375,4056.0,3999.23193359375,4056.0
63,6381.918366193771,,0.18413858115673065,,,0.1597377359867096,0.9127759337425232,,0.11759,0.10942,0.8513,0.99973,1.0,0.995,0.99483,0.003862,3999.23193359375,4056.0,3999.23193359375,4056.0
64,6482.293566465378,,0.18908177316188812,,,0.16420432925224304,0.9164189100265503,,0.11366,0.09494,0.84803,0.99973,1.0,0.995,0.99463,0.0037630000000000003,3999.23193359375,4056.0,3999.23193359375,4056.0
65,6582.814615726471,,0.19164851307868958,,,0.16395290195941925,0.9131669998168945,,0.12002,0.09725,0.84915,0.99973,1.0,0.995,0.99487,0.003664,3999.23193359375,4056.0,3999.23193359375,4056.0
66,6683.213720560074,,0.18042103946208954,,,0.15267443656921387,0.9094533324241638,,0.11537,0.09898,0.84646,0.99973,1.0,0.995,0.995,0.003565,3999.23193359375,4056.0,3999.23193359375,4056.0
